,amount,categoryName,currCost,productName,salePrice,serialNum,unit
307,0.00,饮料,0.0,418ml桑椹果汁,5.0,6939354801275,瓶
308,0.00,饮料,0.0,.418ml桃汁,5.0,6939354801299,瓶
309,0.00,副食,0.0,菱花食用玉米淀粉200g,2.5,6905028001005,袋
310,0.00,副食,0.0,王守义鸡精45g,1.8,6906303001178,袋
311,0.00,副食,0.0,李锦记蚝油680g,5.9,6922824001251,瓶
312,0.00,副食,0.0,李锦记鲜香红烧,7.5,6922824001534,瓶
313,0.00,副食,0.0,王守义黑胡椒粉40g,6.9,6906303001802,袋
314,0.00,副食,0.0,李锦记京式甜酱170g,5.0,4893888002329,瓶
315,0.00,副食,0.0,牛头牌沙茶酱250g,26.3,4711258002505,罐
316,0.00,副食,0.0,合味道五香牛肉面84g,5.8,6917536014019,盒
317,0.00,副食,0.0,合味道海鲜面84g,5.8,6917536014026,盒
318,0.00,副食,0.0,合味道香辣牛肉面84g,5.8,6917536014132,盒
319,0.00,副食,0.0,合味道咖喱面84g,5.8,6917536014156,盒
320,0.00,副食,0.0,恒顺香醋340ml袋装,2.0,6902007030087,包
321,0.00,副食,0.0,公仔4碗装,9.8,6900082030336,盒
322,0.00,副食,0.0,雀巢奶粉,22.0,6917878039831,袋
323,0.00,副食,0.0,恒顺酿造白醋500ml,4.9,6902882050774,瓶
324,0.00,副食,0.0,李锦记锦珍老抽500ml,5.9,6922824075030,瓶
325,0.00,副食,0.0,孔尹手工挂面2550g,60.0,6970241095018,袋
326,0.00,副食,0.0,孔尹手工挂面258g,7.8,6970241095025,袋
