,refundAmount,refundPrice,saleAmount,salePrice,serialNum
471,0,0.00,32.00,240.00,6925843404249
472,0,0.00,6.00,119.40,6975035340053
473,0,0.00,2.00,29.80,6923555210455
474,0,0.00,3.00,44.70,6923555210462
475,0,0.00,3.00,44.70,6923555210479
476,0,0.00,2.00,29.80,6923555212749
477,0,0.00,1.00,32.80,4002652000717
478,0,0.00,3.00,17.70,6970470758319
479,0,0.00,13.00,81.90,6922848608894
480,0,0.00,1.00,61.00,6916323180104
481,0,0.00,2.00,128.00,6916323180111
482,0,0.00,2.00,96.00,6916323200413
483,0,0.00,5.00,320.00,6916323180128
484,0,0.00,12.00,420.00,6970618570698
485,0,0.00,44.00,418.00,6970618570070
486,0,0.00,1.00,32.00,6970618570049
487,-2,-19.00,58.00,551.00,6970618570582
488,0,0.00,3.00,90.00,6970618570414
489,0,0.00,5.00,190.00,6970618570056
498,0,0.00,10.00,95.00,6970618570179
499,0,0.00,34.00,323.00,6970618570599
500,0,0.00,5.00,62.50,6970618570001
501,0,0.00,3.00,40.50,6970618570032
502,0,0.00,12.00,129.60,6970618570384
503,0,0.00,44.00,418.00,6970618570162
504,0,0.00,18.00,531.00,6970618570193
505,-2,-104.00,26.00,1352.00,6916323200659
506,0,0.00,19.00,988.00,6916323200635
507,0,0.00,3.00,119.70,6970079710763
508,0,0.00,12.00,175.20,4894375011008
509,0,0.00,18.00,262.80,4894375010995
510,0,0.00,4.00,46.00,9556023564599
511,0,0.00,3.00,34.50,9556023788735
512,0,0.00,3.00,34.50,9556023453480
513,0,0.00,1.00,22.66,6959629805463
514,0,0.00,3.00,67.80,6959629805548
515,0,0.00,2.00,45.32,6959629805487
516,0,0.00,1.00,22.60,6959629805531
517,0,0.00,9.00,792.00,6907992518077
518,-1,-65.00,8.00,520.00,6907992513157
519,0,0.00,6.00,468.00,6907992516691
520,0,0.00,10.00,95.00,6922133651086
521,0,0.00,11.00,286.00,6371251275
522,0,0.00,14.00,168.00,1008861919350438
523,0,0.00,9.00,103.50,9588552315670
524,0,0.00,1.00,24.50,9588552312266
525,0,0.00,4.00,64.00,9588552322814
526,0,0.00,2.00,36.00,9588552329103
527,0,0.00,3.00,54.00,9588552329110
536,0,0.00,6.00,117.00,9588552334954
537,0,0.00,2.00,39.00,9588552334961
538,0,0.00,4.00,72.00,9588552337535
539,0,0.00,1.00,18.00,9588552337542
540,0,0.00,4.00,76.00,9588552338389
541,0,0.00,2.00,58.00,9588552302854
542,0,0.00,1.00,29.00,9588552302861
543,0,0.00,2.00,32.00,9588552322821
544,0,0.00,1.00,24.90,9588552305312
545,0,0.00,1.00,27.50,9588552313980
546,0,0.00,1.00,14.50,9588552337450
547,0,0.00,1.00,19.00,9588552338396
548,0,0.00,1.00,14.50,9588552333902
549,0,0.00,2.00,40.00,9588552305725
550,0,0.00,2.00,31.80,9588552314123
551,0,0.00,2.00,56.40,9588552320360
552,0,0.00,1.00,28.20,9588552319661
553,0,0.00,3.00,72.00,9588552322296
554,0,0.00,1.00,24.00,9588552322302
555,0,0.00,11.00,396.00,6371251269
556,0,0.00,2.00,236.00,6971881050238
557,0,0.00,3.00,24.00,6928710601406
558,0,0.00,8.00,303.20,6970010922910
559,0,0.00,4.00,72.00,6952675340735
560,0,0.00,4.00,66.00,6952675340810
561,0,0.00,6.00,99.00,6952675329938
562,0,0.00,17.00,399.50,6952675329921
563,0,0.00,21.00,667.80,6952675321123
564,0,0.00,2.00,32.40,6952675311315
565,0,0.00,13.00,128.70,6974613130055
574,0,0.00,3.00,174.00,4901330743826
575,0,0.00,3.00,174.00,4901330742386
576,0,0.00,11.00,163.90,6924810821027
577,0,0.00,35.00,483.00,6924810810007
578,0,0.00,19.00,167.20,6924810824608
579,0,0.00,16.00,588.80,6924810822222
580,0,0.00,3.00,72.00,6924810812223
581,0,0.00,13.00,312.00,6924810812216
582,0,0.00,15.00,615.00,6924810810014
583,0,0.00,3.00,107.40,6924810822406
584,0,0.00,3.00,40.50,6924810802248
585,0,0.00,11.00,286.00,6371251273
586,0,0.00,7.00,96.60,6921774200639
587,0,0.00,4.00,55.20,6921774286305
588,0,0.00,8.00,110.40,6921774271622
589,0,0.00,9.00,124.20,6921774271547
590,0,0.00,3.00,48.90,6919892634603
591,0,0.00,1.00,3.00,6944839905010
