,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
333,33.00,6954808610319,1.00,42.60,西安丰泰永泽商贸有限公司,袋
334,33.00,6954808612139,1.00,42.60,西安丰泰永泽商贸有限公司,袋
335,38.00,6954808612351,3.00,142.50,西安丰泰永泽商贸有限公司,袋
336,20.00,6971680630297,2.00,50.00,西安丰泰永泽商贸有限公司,盒
337,130.00,6974739650178,1.00,160.00,西安丰泰永泽商贸有限公司,盒
338,44.00,6975235721362,2.00,106.00,西安丰泰永泽商贸有限公司,盒
339,30.00,6971893820010,12.00,444.00,西安丰泰永泽商贸有限公司,袋
340,54.00,6943890900408,1.00,69.50,西安丰泰永泽商贸有限公司,袋
341,31.50,6943890900477,1.00,39.00,西安丰泰永泽商贸有限公司,袋
342,22.50,6970599913842,5.00,147.50,西安丰泰永泽商贸有限公司,盒
343,25.50,6970010925010,3.00,89.70,西安丰泰永泽商贸有限公司,盒
344,35.00,6975849950004,5.00,217.50,西安丰泰永泽商贸有限公司,袋
347,100.00,6970866090580,1.00,128.80,西安腾旺贸易有限公司,盒
348,68.00,6944910358360,1.00,82.00,西安腾旺贸易有限公司,袋
349,65.00,6971947498264,1.00,86.00,西安腾旺贸易有限公司,袋
350,64.00,6947475900913,13.00,985.40,西安腾旺贸易有限公司,袋
351,68.00,6947475902405,10.00,810.00,西安腾旺贸易有限公司,袋
352,114.00,6947475903242,1.00,144.00,西安腾旺贸易有限公司,袋
354,39.00,6970037310158,8.00,392.00,西安腾旺贸易有限公司,提
355,55.00,6970037311148,8.00,544.00,西安腾旺贸易有限公司,提
356,63.00,6970037311247,1.00,78.00,西安腾旺贸易有限公司,提
357,63.00,6970037311421,2.00,156.00,西安腾旺贸易有限公司,提
358,56.00,6970037314354,10.00,675.00,西安腾旺贸易有限公司,提
359,11.50,6922477400227,1.00,13.90,西安腾旺贸易有限公司,盒
360,12.50,6922477400333,1.00,15.80,西安腾旺贸易有限公司,盒
361,12.50,6922477400524,2.00,31.60,西安腾旺贸易有限公司,盒
362,19.00,6922477400685,6.00,143.40,西安腾旺贸易有限公司,盒
363,12.50,6922477400777,2.00,31.60,西安腾旺贸易有限公司,盒
364,8.40,6922477410530,3.00,32.40,西安腾旺贸易有限公司,盒
365,8.40,6922477410547,2.00,21.60,西安腾旺贸易有限公司,盒
366,15.50,6922477411087,10.00,198.00,西安腾旺贸易有限公司,袋
367,15.50,6922477411407,6.00,118.80,西安腾旺贸易有限公司,袋
368,14.00,6922477411544,7.00,122.50,西安腾旺贸易有限公司,袋
369,14.00,6922477411551,2.00,35.00,西安腾旺贸易有限公司,袋
370,14.00,6922477411575,3.00,52.50,西安腾旺贸易有限公司,袋
371,14.00,6922477411599,1.00,17.50,西安腾旺贸易有限公司,袋
372,6.00,6941704425000,4.00,31.60,西安腾旺贸易有限公司,盒
373,14.50,6941704425017,6.00,112.80,西安腾旺贸易有限公司,盒
374,55.00,6907992512761,1.00,65.00,西安腾旺贸易有限公司,提
375,53.00,6907992513157,6.00,390.00,西安腾旺贸易有限公司,提
376,57.00,6907992513829,4.00,272.00,西安腾旺贸易有限公司,提
377,66.00,6907992514178,2.00,156.00,西安腾旺贸易有限公司,提
378,56.00,6907992514406,3.00,204.00,西安腾旺贸易有限公司,提
379,72.00,6907992515533,1.00,88.00,西安腾旺贸易有限公司,提
380,72.00,6907992518077,2.00,176.00,西安腾旺贸易有限公司,提
381,54.00,6907992518992,3.00,198.00,西安腾旺贸易有限公司,提
382,78.00,6907992519241,1.00,96.00,西安腾旺贸易有限公司,提
383,12.00,6924810801807,7.00,108.50,西安腾旺贸易有限公司,瓶
384,12.00,6924810801838,3.00,46.50,西安腾旺贸易有限公司,瓶
385,9.80,6928494805250,5.00,64.00,西安腾旺贸易有限公司,盒
386,9.80,6928494805267,2.00,25.60,西安腾旺贸易有限公司,盒
387,15.80,6928494805717,1.00,19.80,西安腾旺贸易有限公司,盒
388,11.50,6928494806448,2.00,29.60,西安腾旺贸易有限公司,盒
389,31.00,6924810810014,5.00,205.00,西安腾旺贸易有限公司,盒
390,19.00,6924810812216,1.00,24.00,西安腾旺贸易有限公司,盒
391,6.50,6971550820001,4.00,34.00,西安腾旺贸易有限公司,盒
392,11.50,6971550820599,3.00,44.40,西安腾旺贸易有限公司,盒
393,11.60,6971550820643,5.00,74.00,西安腾旺贸易有限公司,盒
394,11.60,6971550820650,4.00,59.20,西安腾旺贸易有限公司,盒
395,5.00,6971550820698,6.00,39.60,西安腾旺贸易有限公司,盒
396,5.00,6971550821046,7.00,46.20,西安腾旺贸易有限公司,盒
397,10.00,6971550821107,3.00,39.00,西安腾旺贸易有限公司,瓶
398,15.20,6971550821114,5.00,98.00,西安腾旺贸易有限公司,排
399,15.20,6971550821121,5.00,98.00,西安腾旺贸易有限公司,排
400,28.70,6924810822222,6.00,220.80,西安腾旺贸易有限公司,盒
401,26.70,6924810822376,3.00,101.40,西安腾旺贸易有限公司,盒
402,27.00,6924810822406,4.00,143.20,西安腾旺贸易有限公司,瓶
403,7.00,6924810824608,9.00,79.20,西安腾旺贸易有限公司,盒
404,70.00,6935739919337,16.00,"1,408.00",西安腾旺贸易有限公司,提
406,84.00,6944910337563,1.00,99.00,西安腾旺贸易有限公司,袋
407,10.00,6922507800621,3.00,38.40,西安腾旺贸易有限公司,袋
408,10.00,6922507800638,3.00,38.40,西安腾旺贸易有限公司,袋
409,10.00,6922507804087,3.00,38.40,西安腾旺贸易有限公司,袋
410,5.50,6922507804117,1.00,6.90,西安腾旺贸易有限公司,袋
411,11.00,6922507805022,1.00,13.80,西安腾旺贸易有限公司,袋
412,3.50,6922507809754,11.00,49.50,西安腾旺贸易有限公司,袋
413,8.00,6922507821688,4.00,42.00,西安腾旺贸易有限公司,袋
414,8.00,6922507821701,1.00,10.50,西安腾旺贸易有限公司,袋
415,6.00,6922507823903,3.00,22.50,西安腾旺贸易有限公司,袋
416,6.00,6922507823910,1.00,7.50,西安腾旺贸易有限公司,袋
418,13.00,6944910352412,4.00,67.60,西安腾旺贸易有限公司,袋
419,37.00,6944910355765,13.00,585.00,西安腾旺贸易有限公司,袋
420,39.00,6974919372371,2.00,110.00,西安腾旺贸易有限公司,袋
422,99.00,6941499119399,2.00,238.00,西安腾旺贸易有限公司,桶
425,3.80,6970339116120,48.00,216.00,陕西小大贸易有限公司,盒
426,3.80,6970339116137,4.00,18.00,陕西小大贸易有限公司,盒
427,2.80,6970339116144,32.00,144.00,陕西小大贸易有限公司,盒
