,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
621,4,0,4.0,6971938360075,4
622,4,0,4.0,6971938360150,4
623,153,0,153.0,6959540361321,153
624,125,0,125.0,6959540361406,125
625,238,0,238.0,6959540362274,238
626,7,0,7.0,6959540364063,7
627,2,0,2.0,4891913367238,2
628,5,0,5.0,4891913367344,5
629,1,0,1.0,6959540368115,1
630,12,0,12.0,6974919370025,12
631,136,0,136.0,6974919370070,136
632,23,0,23.0,6974919370087,23
633,15,0,15.0,6974919370254,15
634,5,0,5.0,6974919370476,5
635,218,0,218.0,6934624370680,218
636,2,0,2.0,6959540371030,2
637,119,0,119.0,6959540371092,119
638,7,0,7.0,6974919371343,7
639,31,0,31.0,6974919371367,31
640,38,0,38.0,6974919371374,38
649,111,0,111.0,6971196385070,111
650,151,0,151.0,6971196385179,151
651,12,0,12.0,6923668390181,12
652,8,0,8.0,6935953399991,8
653,27,0,27.0,9300639400013,27
654,29,0,29.0,6948042400027,29
655,81,0,81.0,6948042400034,81
656,7,0,7.0,6931802400047,7
657,1,0,1.0,6931802400078,1
658,23,0,23.0,6931802400085,23
659,52,0,52.0,6922477400227,52
660,21,0,21.0,6922477400333,21
661,12,0,12.0,6923228400381,12
662,24,0,24.0,6922477400524,24
663,16,0,16.0,6955381400601,16
664,49,0,49.0,6922477400685,49
665,7,0,7.0,6955381400700,7
666,17,0,17.0,6922477400777,17
667,61,0,61.0,6923228400817,61
668,38,0,38.0,6922895401226,38
669,81,0,81.0,6954767401874,81
670,18,0,18.0,6925843404249,18
671,25,0,25.0,6954767410388,25
672,26,0,26.0,6922477410523,26
673,20,0,20.0,6922477410530,20
674,10,0,10.0,6922477410547,10
675,1,0,1.0,6922477411063,1
676,4,0,4.0,6922477411384,4
677,4,0,4.0,6922477411544,4
678,8,0,8.0,6922477411568,8
687,7,0,7.0,6922477411575,7
688,1,0,1.0,6922477411599,1
689,24,0,24.0,6933211412246,24
690,52,0,52.0,8804007413540,52
691,1,0,1.0,6935284415650,1
692,21,0,21.0,6974259420367,21
693,116,0,116.0,6954767422688,116
694,9,0,9.0,6918678423035,9
695,14,0,14.0,4897045427772,14
696,4,0,4.0,4897045427802,4
697,2,0,2.0,4897045430383,2
698,35,0,35.0,6954767430386,35
699,3,0,3.0,4897045430390,3
700,13,0,13.0,6933211432459,13
701,1,0,1.0,6970212432866,1
702,12,0,12.0,6902265440291,12
703,13,0,13.0,6973782440347,13
704,7,0,7.0,4712832449037,7
705,7,0,7.0,4712832449983,7
706,11,0,11.0,9556023453480,11
707,26,0,26.0,4014400470055,26
708,3,0,3.0,6902265470236,3
709,32,0,32.0,6941174497026,32
710,29,0,29.0,6941174497033,29
711,16,0,16.0,6941174497149,16
712,6,0,6.0,6941174497156,6
713,262,0,262.0,6971947498080,262
714,20,0,20.0,6941174499617,20
715,10,0,10.0,6935616500016,10
716,16,0,16.0,7612100500033,16
725,6,0,6.0,6944296500049,6
726,27,0,27.0,6920143500509,27
727,26,0,26.0,6921168500956,26
728,34,0,34.0,6921168500970,34
729,8,0,8.0,6936749501109,8
730,10,0,10.0,6936749501116,10
731,5,0,5.0,6911569506848,5
732,27,0,27.0,6921168511280,27
733,5,0,5.0,6907992512761,5
734,13,0,13.0,6907992513157,13
735,34,0,34.0,6907992513829,34
736,37,0,37.0,6957258513933,37
737,60,0,60.0,6957258513940,60
738,22,0,22.0,6907992514178,22
739,14,0,14.0,6907992515533,14
740,24,0,24.0,6957258516156,24
741,2,0,2.0,6957258516224,2
742,7,0,7.0,6957258516231,7
743,8,0,8.0,6907992516691,8
744,12,0,12.0,6957258517108,12
745,2,0,2.0,6957258517115,2
746,1,0,1.0,6907992518077,1
747,4,0,4.0,6907992518930,4
748,5,0,5.0,6907992518992,5
749,29,0,29.0,6975471520019,29
750,32,0,32.0,8993175537391,32
751,5,0,5.0,9556023552138,5
752,91,0,91.0,6926213557985,91
753,166,0,166.0,6926213559019,166
754,35,0,35.0,6971851560026,35
763,5,0,5.0,6971851560439,5
764,411,0,411.0,6926213560831,411
765,7,0,7.0,9556023564599,7
766,21,0,21.0,6926892565080,21
767,41,0,41.0,6926892566087,41
768,2,0,2.0,4600648566720,2
769,20,0,20.0,6926892567084,20
770,5,0,5.0,6903004568511,5
771,49,0,49.0,6903004568658,49
772,6,0,6.0,6970618570001,6
773,2,0,2.0,6972698570100,2
774,4,0,4.0,6970618570582,4
775,15,0,15.0,4716076571455,15
776,8,0,8.0,4716076571462,8
777,4,0,4.0,4716076571479,4
778,7,0,7.0,4716076571486,7
779,6,0,6.0,4716076571493,6
780,10,0,10.0,4716076571509,10
781,1,0,1.0,4716076571745,1
782,5,0,5.0,4716076571769,5
783,130,0,130.0,6906791583613,130
784,64,0,64.0,6906791584191,64
785,6,0,6.0,6902265590712,6
786,19,0,19.0,4718287594209,19
787,9,0,9.0,4718287594247,9
788,2,0,2.0,4718287594308,2
789,7,0,7.0,4718287594520,7
790,10,0,10.0,4718287594568,10
791,120,0,120.0,6921168594733,120
792,46,0,46.0,6921168594993,46
801,18,0,18.0,6921168595006,18
802,22,0,22.0,6921168595099,22
803,15,0,15.0,6921168595143,15
804,74,0,74.0,6921168595167,74
805,104,0,104.0,6921168597116,104
806,331,0,331.0,6921168597123,331
807,48,0,48.0,8006222600013,48
808,23,0,23.0,6974106600027,23
809,111,0,111.0,6928710600034,111
810,39,0,39.0,8006222600037,39
811,340,0,340.0,6928710600058,340
812,53,0,53.0,6928710600065,53
813,190,0,190.0,6928710600072,190
814,30,0,30.0,6928710600096,30
815,37,0,37.0,8859546600098,37
816,320,0,320.0,6924773600165,320
817,10,0,10.0,6928710600195,10
818,22,0,22.0,6936700600247,22
819,26,0,26.0,6928710600300,26
820,175,0,175.0,6928710600317,175
821,20,0,20.0,6928710600331,20
822,88,0,88.0,6936700600353,88
823,2654,0,2654.0,6928710600362,2654
824,101,0,101.0,6936700600391,101
825,855,0,855.0,6928710600485,855
826,17,0,17.0,6928710600546,17
827,783,0,783.0,6928710600553,783
828,635,0,635.0,6928710600560,635
829,13,0,13.0,6928710600584,13
830,504,0,504.0,6928710600591,504
839,71,0,71.0,6936700600599,71
840,26,0,26.0,6928710600614,26
841,1051,0,1051.0,6928710600621,1051
842,9,0,9.0,6928710600713,9
843,127,0,127.0,6928710600805,127
844,7,0,7.0,6928710600980,7
845,2,0,2.0,6928710601147,2
