,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
1197,0,0,0.0,6923644274238,0
1198,0,0,0.0,6923644275815,0
1200,0,0,0.0,5203629121216,0
1201,0,0,0.0,5201167203685,0
1202,0,0,0.0,5201167205528,0
1203,0,0,0.0,5201167205573,0
1204,0,0,0.0,5201167206358,0
1205,0,0,0.0,5201167206402,0
1206,0,0,0.0,5201167206419,0
1208,0,0,0.0,000084,0
1209,0,0,0.0,6933182012018,0
1210,0,0,0.0,6933182012070,0
1211,0,0,0.0,6970241186105,0
1212,0,0,0.0,6970241187225,0
1213,0,0,0.0,693689280081,0
1214,0,0,0.0,6952935401084,0
1215,0,0,0.0,6926155418160,0
1216,0,0,0.0,6926155418351,0
1217,0,0,0.0,6922952701788,0
1218,0,0,0.0,6922952730023,0
1219,0,0,0.0,6922952730511,0
1220,0,0,0.0,6909867780022,0
1221,0,0,0.0,6909867780084,0
1222,0,0,0.0,6909867780299,0
1223,0,0,0.0,6909867780305,0
1224,0,0,0.0,6909867780541,0
1225,0,0,0.0,6909867781333,0
1226,0,0,0.0,6909867781357,0
1227,0,0,0.0,6930874900257,0
1228,0,0,0.0,6909867001226,0
1229,0,0,0.0,6909867007563,0
1230,0,0,0.0,6922952730016,0
1231,0,0,0.0,6922952730047,0
1232,0,0,0.0,6922952730153,0
1233,0,0,0.0,6922952730177,0
1234,0,0,0.0,6922952730344,0
1235,0,0,0.0,6922952730399,0
1236,0,0,0.0,6909867778340,0
1237,0,0,0.0,6909867778449,0
1238,0,0,0.0,6909867779224,0
1239,0,0,0.0,6909867779279,0
1240,0,0,0.0,6909867779323,0
1241,0,0,0.0,6909867779378,0
1242,0,0,0.0,6909867779989,0
1243,0,0,0.0,6909867780480,0
1244,0,0,0.0,6909867780497,0
1245,0,0,0.0,6930874900264,0
1246,0,0,0.0,6932563130105,0
1247,0,0,0.0,6957585212493,0
1248,0,0,0.0,6956087600104,0
1249,0,0,0.0,6956087600128,0
1250,0,0,0.0,6956087600135,0
1251,0,0,0.0,6909867780428,0
1252,0,0,0.0,6909867780442,0
1253,0,0,0.0,6909867781043,0
1254,0,0,0.0,6909867781074,0
1255,0,0,0.0,6909867781166,0
1256,0,0,0.0,6970279840017,0
1257,0,0,0.0,6970279840048,0
1258,0,0,0.0,6921333990131,0
1260,0,0,0.0,6955859300617,0
1261,0,0,0.0,6955859300648,0
1262,0,0,0.0,6931940603096,0
1263,0,0,0.0,6931940603157,0
1264,0,0,0.0,6931940603164,0
1265,0,0,0.0,6931940603522,0
1267,0,0,0.0,001,0
1268,0,0,0.0,2,0
1271,0,0,0.0,4891913000426,0
