,categoryName,grossProfit,grossProfitRate,saleAmount,saleTotal,serialNum,supplierName,totalCost
164,零食类,12.60,16.67%,14.00,75.60,6926507202836,丰泰永泽商贸有限公司,63.00
165,零食类,5.00,27.78%,2.00,18.00,6971791203571,丰泰永泽商贸有限公司,13.00
166,零食类,5.00,27.78%,2.00,18.00,6971791203588,丰泰永泽商贸有限公司,13.00
167,零食类,2.50,27.78%,1.00,9.00,6971791203595,丰泰永泽商贸有限公司,6.50
168,零食类,9.00,25.00%,3.00,36.00,6971791203618,丰泰永泽商贸有限公司,27.00
169,零食类,6.90,23.08%,1.00,29.90,6926507204182,丰泰永泽商贸有限公司,23.00
170,零食类,6.90,23.08%,1.00,29.90,6926507204342,丰泰永泽商贸有限公司,23.00
171,零食类,11.80,20.07%,1.00,58.80,6926507204991,丰泰永泽商贸有限公司,47.00
172,零食类,3.00,22.22%,1.00,13.50,6974176260176,丰泰永泽商贸有限公司,10.50
173,零食类,11.10,25.52%,3.00,43.50,6974176260183,丰泰永泽商贸有限公司,32.40
174,零食类,20.00,22.22%,5.00,90.00,6974176260367,丰泰永泽商贸有限公司,70.00
175,零食类,3.00,22.22%,1.00,13.50,6974176260541,丰泰永泽商贸有限公司,10.50
176,零食类,17.20,21.72%,4.00,79.20,6976488300267,丰泰永泽商贸有限公司,62.00
177,零食类,12.60,21.69%,7.00,58.10,6971426300477,丰泰永泽商贸有限公司,45.50
178,零食类,1.80,21.69%,1.00,8.30,6971426300491,丰泰永泽商贸有限公司,6.50
179,零食类,6.50,22.41%,1.00,29.00,9588552302854,丰泰永泽商贸有限公司,22.50
180,零食类,42.00,23.26%,7.00,180.60,9588552304506,丰泰永泽商贸有限公司,138.60
181,零食类,17.70,23.69%,3.00,74.70,9588552305312,丰泰永泽商贸有限公司,57.00
182,零食类,4.00,20.00%,1.00,20.00,9588552305725,丰泰永泽商贸有限公司,16.00
183,零食类,5.50,22.45%,1.00,24.50,9588552312259,丰泰永泽商贸有限公司,19.00
184,零食类,5.50,22.45%,1.00,24.50,9588552312266,丰泰永泽商贸有限公司,19.00
185,零食类,3.90,24.53%,1.00,15.90,9588552314123,丰泰永泽商贸有限公司,12.00
186,零食类,3.90,24.53%,1.00,15.90,9588552314338,丰泰永泽商贸有限公司,12.00
187,零食类,25.60,19.75%,8.00,129.60,6952675319915,丰泰永泽商贸有限公司,104.00
188,零食类,75.00,18.99%,5.00,395.00,6970480320292,丰泰永泽商贸有限公司,320.00
189,零食类,87.00,18.24%,15.00,477.00,6952675321123,丰泰永泽商贸有限公司,390.00
190,零食类,17.50,25.93%,5.00,67.50,9588552322692,丰泰永泽商贸有限公司,50.00
191,零食类,28.00,25.93%,8.00,108.00,9588552322708,丰泰永泽商贸有限公司,80.00
192,零食类,20.00,25.00%,5.00,80.00,9588552322821,丰泰永泽商贸有限公司,60.00
193,零食类,58.50,19.15%,13.00,305.50,6952675329921,丰泰永泽商贸有限公司,247.00
194,零食类,40.70,22.42%,11.00,181.50,6952675329938,丰泰永泽商贸有限公司,140.80
195,零食类,27.00,27.27%,6.00,99.00,9588552332912,丰泰永泽商贸有限公司,72.00
196,零食类,4.00,27.59%,1.00,14.50,9588552333902,丰泰永泽商贸有限公司,10.50
197,零食类,8.00,26.67%,2.00,30.00,9588552334244,丰泰永泽商贸有限公司,22.00
198,零食类,4.00,26.67%,1.00,15.00,9588552334251,丰泰永泽商贸有限公司,11.00
199,零食类,4.29,22.00%,1.00,19.50,9588552334954,丰泰永泽商贸有限公司,15.21
200,零食类,4.29,22.00%,1.00,19.50,9588552334978,丰泰永泽商贸有限公司,15.21
201,零食类,11.88,22.00%,3.00,54.00,9588552335128,丰泰永泽商贸有限公司,42.12
202,零食类,31.68,22.00%,8.00,144.00,9588552335135,丰泰永泽商贸有限公司,112.32
203,零食类,22.33,22.00%,7.00,101.50,9588552337450,丰泰永泽商贸有限公司,79.17
204,零食类,3.19,22.00%,1.00,14.50,9588552337474,丰泰永泽商贸有限公司,11.31
205,零食类,25.50,21.52%,3.00,118.50,9588552337498,丰泰永泽商贸有限公司,93.00
206,零食类,7.92,22.00%,2.00,36.00,9588552337528,丰泰永泽商贸有限公司,28.08
207,零食类,8.10,20.45%,3.00,39.60,6952675337735,丰泰永泽商贸有限公司,31.50
208,零食类,16.00,22.22%,4.00,72.00,6952675340735,丰泰永泽商贸有限公司,56.00
209,零食类,7.50,20.55%,1.00,36.50,4897031352422,丰泰永泽商贸有限公司,29.00
210,零食类,6.00,21.43%,1.00,28.00,4897031353597,丰泰永泽商贸有限公司,22.00
211,零食类,24.00,21.43%,4.00,112.00,4897031353603,丰泰永泽商贸有限公司,88.00
