,amount,categoryName,cost,currPrice,productName,serialNum
269,14.0,调料类,1.7,2.2,乌江海带丝50g,6901754150505
270,26.0,调料类,4.3,5.9,叮当婆手抓饼酱原味130g,6925714800569
271,2.0,调料类,4.5,6.5,海底捞火锅蘸料原味120g,6955381400601
272,10.0,调料类,8.5,10.5,李锦记财神蚝油255g,6918678310014
273,26.0,调料类,1.2,1.5,川南学生榨菜53g,6915993303028
274,4.0,调料类,7.8,10.5,老才臣饺子醋500ml,6930628801304
275,4.0,调料类,5.8,7.8,欣和葱伴侣豆瓣酱300g,6921204802204
276,6.0,调料类,12.5,14.9,小肥羊辣火锅235g,6935953399991
277,8.0,调料类,11.8,14.5,小肥羊清汤火锅110g,6935953399984
278,7.0,调料类,4.7,5.9,麻辣川师剁辣椒200g,6924116188879
279,23.0,调料类,5.5,6.9,瓜渚湖黄酒500ml,6920319827799
280,21.0,调料类,1.6,2.0,滋品源碱面150g,6942046300017
281,33.0,调料类,8.5,11.8,好时咖喱微辣100g,6936749501116
282,13.0,调料类,22.5,33.0,四季宝花生酱510g.,6922877745508
283,1.0,调料类,8.5,11.8,好时咖喱原味100g,6936749501109
284,26.0,调料类,5.0,6.4,东古上等蚝油700g,6911567886096
285,41.0,调料类,2.2,2.8,天香杂酱面酱180g,6944296500049
286,10.0,调料类,18.0,21.8,冠生园蜂蜜500g,6930305500049
287,150.0,调料类,3.4,4.5,王守义十三香45g,6906303888885
288,1.0,调料类,4.7,5.9,麻辣川师小米辣200g,6924116170010
289,24.0,调料类,4.5,5.7,北美林红豆馅400g,6935616500016
290,1.0,调料类,1.2,1.5,川南麻辣萝卜丝53g,6915993302229
291,47.0,调料类,4.0,5.9,家家餐红薯淀粉200g,6970470758319
292,5.0,调料类,8.9,13.0,甘竹牌香辣豆豉鱼184g,6902534238338
293,2.0,调料类,9.0,13.0,甘竹牌豆豉鱼184g,6902534238499
294,23.0,调料类,11.0,14.5,李锦记蒸鱼豉油410ml,6918678423035
295,102.0,调料类,3.4,4.5,王守义饺子馅料45g,6906303888908
296,19.0,调料类,10.0,12.8,象国0脂油醋汁270g,6972011732017
297,1.0,调料类,1.6,2.0,滋品源小苏打200g,6942046300055
298,33.0,调料类,3.5,4.5,川南袋装干豆豉200g,6915993301895
307,22.0,调料类,5.5,6.8,淘大黄豆酱油550ml,6972559820108
308,7.0,调料类,6.5,8.5,李锦记金标生抽500ml,4893888001575
309,41.0,调料类,3.8,5.5,王守义花椒粉20g,6906303004476
310,9.0,调料类,7.8,9.9,李锦记凉拌汁207ml,4893888001360
311,14.0,调料类,11.2,13.5,六必居纯芝麻酱300g,6909689901483
312,19.0,调料类,2.2,2.8,王致和干黄酱180g,6907592001429
