,cost,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
777,11.50,0,0.00,8.00,15.00,120.00,6916323963226
778,14.90,0,0.00,3.00,18.00,54.00,6923228400381
779,7.00,0,0.00,4.00,9.30,37.20,4712832449983
780,12.50,0,0.00,2.00,16.00,32.00,1008861919352135
781,41.00,0,0.00,6.00,49.90,299.40,4014400924268
782,32.00,0,0.00,1.00,44.00,44.00,4897025882591
783,32.00,0,0.00,1.00,44.00,44.00,4897025882539
784,32.00,0,0.00,2.00,44.00,88.00,4897025882546
785,6.60,0,0.00,67.00,7.20,482.40,6921168595099
786,3.00,0,0.00,239.00,3.69,881.91,6921168594993
787,2.30,0,0.00,90.00,2.80,252.00,6921168595167
788,2.30,0,0.00,81.00,2.80,226.80,6921168595143
789,3.00,0,0.00,119.00,3.69,439.11,6921168595006
790,1.20,0,0.00,95.00,1.60,152.00,6921168511280
791,7.50,0,0.00,62.00,8.80,545.60,6921168559176
792,3.00,0,0.00,4.00,3.80,15.20,6921168593002
793,1.30,0,0.00,523.00,1.70,889.10,6921168509256
802,4.10,0,0.00,31.00,4.90,151.90,6921168500956
803,4.10,0,0.00,22.00,4.90,107.80,6921168500970
804,23.00,0,0.00,5.00,28.80,144.00,6920238066019
805,26.52,0,0.00,1.00,32.80,32.80,4002652000748
806,15.84,0,0.00,4.00,18.00,72.00,6371251259
807,11.00,0,0.00,11.00,14.00,154.00,1008862021070005
808,12.14,0,0.00,6.00,13.80,82.80,6371251240
809,63.00,0,0.00,6.00,83.90,503.40,8411342000115
810,103.00,0,0.00,1.00,135.00,135.00,8411342000177
811,6.00,0,0.00,6.00,8.30,49.80,041508600057
812,33.60,0,0.00,3.00,42.80,128.40,2010311951431
813,32.00,0,0.00,2.00,42.90,85.80,6924187876576
814,28.00,0,0.00,3.00,36.00,108.00,6924187875333
815,6.80,0,0.00,13.00,8.90,115.70,6924187851160
816,9.20,0,0.00,13.00,12.50,162.50,6924187824959
817,11.20,0,0.00,11.00,15.90,174.90,6924187821989
818,10.70,0,0.00,1.00,13.90,13.90,6924187821644
819,24.00,0,0.00,4.00,37.40,149.60,6928312900525
820,9.00,0,0.00,2.00,11.70,23.40,6928312911668
821,11.50,0,0.00,3.00,19.20,57.60,6928312961090
822,8.50,0,0.00,1.00,10.20,10.20,6928312918001
823,12.00,0,0.00,6.00,17.50,105.00,6928312900204
824,16.50,0,0.00,7.00,21.00,147.00,6928312984228
825,6.50,0,0.00,3.00,8.80,26.40,6936072100154
826,24.00,0,0.00,5.00,34.90,174.50,6936072100871
827,7.50,0,0.00,1.00,9.50,9.50,6936072100369
828,8.00,0,0.00,5.00,9.90,49.50,6974613130086
829,12.10,0,0.00,29.00,14.80,429.20,6943036809015
