,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,serialNum,supplierName,totalCost
940,零食类,4.80,13.41%,1,35.80,6925785605797,西安和天熙商贸有限公司,31.00
941,零食类,7.90,20.31%,1,38.90,6925785605902,西安和天熙商贸有限公司,31.00
942,零食类,13.80,20.35%,2,67.80,6925785603441,西安和天熙商贸有限公司,54.00
943,零食类,6.80,20.12%,1,33.80,6925785601898,西安和天熙商贸有限公司,27.00
944,零食类,10.00,20.00%,1,50.00,8935024149669,西安和天熙商贸有限公司,40.00
945,零食类,15.00,23.08%,10,65.00,6922895401226,西安和天熙商贸有限公司,50.00
946,零食类,18.00,21.43%,2,84.00,9556121027149,西安和天熙商贸有限公司,66.00
947,零食类,2.20,20.00%,1,11.00,9556121024025,西安和天熙商贸有限公司,8.80
948,零食类,11.00,22.00%,1,50.00,9556121027163,西安和天熙商贸有限公司,39.00
950,乳制品类,6.00,20.00%,2,30.00,4260290260027,西安和天熙商贸有限公司,24.00
951,乳制品类,48.00,20.00%,16,240.00,4260290260010,西安和天熙商贸有限公司,192.00
952,乳制品类,11.00,18.64%,1,59.00,4260290263042,西安和天熙商贸有限公司,48.00
953,乳制品类,32.50,19.23%,13,169.00,9300639500041,西安和天熙商贸有限公司,136.50
954,乳制品类,3.00,20.00%,1,15.00,4100290007089,西安和天熙商贸有限公司,12.00
955,乳制品类,13.20,19.35%,11,68.20,5711953044380,西安和天熙商贸有限公司,55.00
956,乳制品类,8.40,19.35%,7,43.40,5711953044366,西安和天熙商贸有限公司,35.00
965,乳制品类,6.00,20.00%,2,30.00,4100290007072,西安和天熙商贸有限公司,24.00
966,乳制品类,52.00,25.00%,2,208.00,6955801118659,西安和天熙商贸有限公司,156.00
967,乳制品类,3.70,19.58%,1,18.90,6904007610542,西安和天熙商贸有限公司,15.20
968,乳制品类,3.00,16.67%,1,18.00,6904007607856,西安和天熙商贸有限公司,15.00
969,乳制品类,4.00,10.00%,1,40.00,6904007602578,西安和天熙商贸有限公司,36.00
970,乳制品类,4.00,10.00%,1,40.00,6904007605920,西安和天熙商贸有限公司,36.00
971,乳制品类,20.00,20.00%,8,100.00,6904007607917,西安和天熙商贸有限公司,80.00
972,乳制品类,1.40,17.72%,1,7.90,6904007608563,西安和天熙商贸有限公司,6.50
973,乳制品类,7.00,17.72%,5,39.50,6904007608570,西安和天熙商贸有限公司,32.50
974,乳制品类,46.90,14.99%,7,312.90,6904007606606,西安和天熙商贸有限公司,266.00
975,乳制品类,8.20,20.40%,2,40.20,6904007608211,西安和天熙商贸有限公司,32.00
