,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
234,零食,8.5,12.0,571455,御之味起士饼干300g,4716076571455,西安菲达食品商贸有限公司,袋
235,零食,8.5,12.0,571462,御之味栗蓉饼干300g,4716076571462,西安菲达食品商贸有限公司,袋
236,零食,8.5,12.0,571479,御之味乳酸菌饼干300g,4716076571479,西安菲达食品商贸有限公司,袋
237,零食,10.5,15.0,571486,御之味燕麦饼干水果300g,4716076571486,西安菲达食品商贸有限公司,盒
238,零食,10.5,15.0,571493,御之味燕麦饼坚果300g,4716076571493,西安菲达食品商贸有限公司,盒
239,零食,10.5,15.0,571509,御之味燕麦饼干抹茶300g,4716076571509,西安菲达食品商贸有限公司,盒
240,零食,8.0,11.5,571691,日式小圆饼南乳味150g,4716076571691,西安菲达食品商贸有限公司,袋
241,零食,8.0,11.5,571707,日式小圆饼咸蛋黄150g,4716076571707,西安菲达食品商贸有限公司,袋
242,零食,8.0,11.5,571714,御之味日式黑糖饼干150g,4716076571714,西安菲达食品商贸有限公司,袋
243,零食,8.0,11.5,571738,御之味海盐饼干粗粮206g,4716076571738,西安菲达食品商贸有限公司,袋
244,零食,8.0,11.5,571745,御之味海盐饼干黄油206g,4716076571745,西安菲达食品商贸有限公司,袋
245,零食,8.0,11.5,571752,御之味海盐饼干青瓜206g,4716076571752,西安菲达食品商贸有限公司,袋
246,零食,8.0,11.5,571769,御之味海盐饼干香葱206g,4716076571769,西安菲达食品商贸有限公司,袋
247,零食,20.0,27.9,571882,拉迈尔巧克力什锦糖,4680025571882,西安菲达食品商贸有限公司,盒
248,零食,8.0,11.5,572001,御之味日式红豆饼干138g,4716076572001,西安菲达食品商贸有限公司,袋
249,零食,8.5,12.0,572155,御之味小格芙混装180g,4716076572155,西安菲达食品商贸有限公司,袋
250,零食,10.5,14.5,594209,百果山蓝莓李果200g,4718287594209,西安菲达食品商贸有限公司,袋
251,零食,10.5,14.5,594247,百果山黑糖杨梅200g,4718287594247,西安菲达食品商贸有限公司,袋
252,零食,10.5,14.5,594254,百果山西梅180g,4718287594254,西安菲达食品商贸有限公司,袋
253,零食,10.5,14.5,594308,百果山话梅皇120g,4718287594308,西安菲达食品商贸有限公司,袋
254,零食,10.5,14.5,594520,百果山盐津陈皮160g,4718287594520,西安菲达食品商贸有限公司,袋
255,零食,12.0,16.5,594551,百果山菠萝干120g,4718287594551,西安菲达食品商贸有限公司,袋
256,零食,12.0,16.5,594568,百果山芒果干120g,4718287594568,西安菲达食品商贸有限公司,袋
