,amount,categoryName,currCost,productName,salePrice,serialNum,unit
5530,11.00,调料,8.40,海天草菇老抽 500ml,10.90,6902265210504,瓶
5531,12.00,调料,6.40,海天老抽王500ml,8.50,6902265240501,瓶
5533,8.00,调料,6.50,海天上等蚝油700ml,7.90,6902265360018,瓶
5534,14.00,调料,23.00,野森林菌汤料包100g,33.80,6974919370025,袋
5535,1.00,调料,4.50,野森林海带结80g,8.00,6974919370124,袋
5536,11.00,调料,3.00,野森林香叶40g,5.50,6974919371343,盒
5537,13.00,调料,7.50,海天海鲜酱,12.00,6902265440291,瓶
5538,8.00,调料,5.50,海天黄豆酱230g,6.50,6902265470236,瓶
5539,267.00,调料,15.50,野森林洋槐蜂蜜500g,19.90,6971947498080,瓶
5543,9.00,调料,4.50,海天番茄沙司250g,5.90,6902265540250,瓶
5544,169.00,调料,6.00,阿一波橄榄菜185g,7.70,6926213559019,瓶
5545,39.00,调料,12.00,麻辣先生手工牛油火锅料200g,18.90,6971851560026,袋
5549,8.00,调料,16.00,麻辣先生菜小方火锅料240g,25.90,6971851560439,袋
5550,411.00,调料,9.00,阿一波虾皮50g,13.00,6926213560831,袋
5551,12.00,调料,12.00,海天金标蚝油625g,15.50,6902265590712,瓶
5560,25.00,调料,5.70,野森林黑豆皮120g,8.00,6928710605138,袋
5561,25.00,调料,5.70,野森林火锅豆皮150g,8.00,6928710605176,袋
5562,218.00,调料,10.50,野森林高良姜150g,15.00,6928710609518,盒
5563,46.00,调料,10.50,野森林白芷200g,15.00,6928710609525,盒
5564,124.00,调料,43.00,野森林肉蔻300g,63.00,6928710609532,盒
5565,162.00,调料,26.00,野森林白寇90g,38.00,6928710609549,盒
5566,17.00,调料,8.50,野森林小茴香200g,13.00,6928710609556,盒
5567,74.00,调料,18.00,野森林丁香200g,26.00,6928710609563,盒
5568,359.00,调料,27.00,野森林花椒150g,39.00,6928710609570,盒
5570,88.00,调料,22.00,野森林八角100g,32.00,6928710609594,盒
5571,2.00,调料,19.00,野森林草果200g,28.00,6928710609600,盒
5572,1.00,调料,6.00,野森林辣椒段150g,8.50,6928710609761,袋
5573,8.00,调料,11.50,野森林辣椒面300g,15.70,6928710609778,袋
5574,-1.00,调料,4.60,海天白米醋500ml,6.40,6902265610014,瓶
5575,2.00,调料,10.50,亨氏黑胡椒酱200g,12.50,6921956645586,瓶
5576,13.00,调料,10.50,亨氏烧烤酱200g,12.50,6921956645593,瓶
5583,18.00,调料,35.00,千禾有机酱油500ml,50.40,6928312900181,瓶
5584,6.00,调料,12.00,千禾头道原香180天,17.50,6928312900204,瓶
5585,4.00,调料,24.00,千禾180天头道酱油1.28L,37.40,6928312900525,瓶
5587,5.00,调料,13.50,风球黑胡椒汁250g,16.00,6920267904146,瓶
5588,6.00,调料,18.00,风球辣鲜露472g,22.00,6920267904344,瓶
5589,12.00,调料,11.50,风球黑椒牛排酱250g,16.00,6920267907420,瓶
5594,13.00,调料,12.00,风球鲍汁蚝油390g,14.00,6920267909844,瓶
5595,5.00,调料,9.00,千禾窖醋2年1.8升,11.70,6928312911668,瓶
5596,12.00,调料,8.50,千禾特级草菇老抽500ml,10.20,6928312918001,瓶
5597,21.00,调料,7.80,赖汤圆心340g,10.80,6907661938847,包
5598,10.00,调料,7.80,赖汤圆粉610g,10.80,6907661938854,袋
5599,13.00,调料,11.50,千禾糯米香醋1L,19.20,6928312961090,瓶
5600,4.00,调料,10.00,仲景香菇酱原味210g,13.50,6942806981951,瓶
5601,24.00,调料,10.50,仲景香辣香菇酱215g,13.50,6942806981999,瓶
5602,12.00,调料,10.50,仲景香菇酱麻辣210g,13.50,6942806982064,瓶
5603,18.00,调料,14.00,仲景麻辣油258ml,18.00,6942806982972,瓶
5604,7.00,调料,12.90,仲景花椒油258ml,17.00,6942806982989,瓶
5605,23.00,调料,10.50,仲景辣椒油258ml,14.50,6942806983047,瓶
5607,12.00,调料,11.90,仲景牛肉酱鲜辣210g,15.00,6942806983511,瓶
5608,22.00,调料,11.90,仲景牛肉酱五香210g,15.00,6942806983528,瓶
5610,18.00,调料,16.50,千禾有机酱油210ml,21.00,6928312984228,瓶
5613,450.00,杂粮,9.00,野森林糙米1000g,10.80,6928710601017,袋
5614,177.00,杂粮,8.00,野森林冰糖500g精选,10.30,6928710600317,袋
5615,39.00,杂粮,11.00,野森林白糖1000g,13.50,6928710600331,袋
5616,29.00,杂粮,12.50,野森林江米1000g,16.30,6928710600546,包
5617,804.00,杂粮,18.00,野森林小米1000g,22.50,6928710600553,包
5618,640.00,杂粮,20.00,野森林红小豆1000g,25.90,6928710600560,包
5619,7.00,杂粮,17.50,野森林绿豆1000g,22.80,6928710600577,包
5620,21.00,杂粮,12.50,野森林黄豆1000g,16.30,6928710600584,包
5621,510.00,杂粮,11.00,野森林燕麦片1000g,14.70,6928710600591,包
5622,37.00,杂粮,20.00,野森林花生米1000g,26.00,6928710600614,包
5623,"1,055.00",杂粮,18.00,野森林黑米1000g,23.50,6928710600621,包
5624,14.00,杂粮,7.00,野森林玉米粥1000g,10.00,6928710600713,包
5625,133.00,杂粮,6.90,野森林红糖精选500g,8.50,6928710600805,包
5626,9.00,杂粮,12.00,野森林黄冰糖500g,15.80,6928710601147,袋
5627,47.00,杂粮,6.20,野森林黑豆500g,7.50,6928710601284,包
5628,37.00,杂粮,11.50,野森林五谷粥500g,15.00,6928710601352,包
5630,9.00,杂粮,5.50,精选园江米500g,8.00,6928710601406,包
5631,165.00,杂粮,16.00,野森林薏米500g,20.00,6928710601437,包
5632,9.00,杂粮,10.00,野森林菊花冰糖500G,13.50,6928710601734,包
5639,101.00,杂粮,26.00,野森林每日粗粮700g,34.80,6928710602151,袋
5640,75.00,杂粮,30.00,野森林藜麦650g,39.90,6928710609211,瓶
5641,37.00,杂粮,10.00,野森林罐装白芝麻238g,13.50,6928710660045,袋
5642,32.00,杂粮,9.00,野森林白糖罐装700g,12.50,6928710660175,袋
5643,72.00,杂粮,9.00,野森林冰糖罐装600g,13.50,6928710660182,袋
5649,219.00,杂粮,18.00,野森林薏米600g,24.00,6928710660496,袋
5654,2.00,冻货,15.00,鲜美来巴沙鱼248g,18.90,6950327000884,袋
5656,13.00,冻货,20.50,鲜美来火锅八爪鱼200g,25.80,6950327001041,袋
5657,6.00,冻货,19.50,鲜美来火锅鱿鱼须200g,23.90,6950327001058,袋
5661,12.00,冻货,75.00,虾仁650g,95.00,6971881050054,袋
5662,2.00,冻货,90.00,精选生虾1300g,118.00,6971881050238,袋
5664,3.00,冻货,18.00,好邦鸡脯肉1000g,23.00,6947689112102,袋
5665,14.00,冻货,50.00,好邦单冻翅中1000g,59.00,6947689112454,袋
5677,3.00,冻货,30.00,湾仔码头猪肉白菜水饺720g,37.90,4891913367238,袋
5679,9.00,冻货,32.00,湾仔码头韭黄水饺400g,39.90,4891913367344,袋
5681,-4.00,冻货,17.00,整切眼肉牛排150g,21.00,6945482421773,盒
5693,1.00,冻货,13.00,安井鱼籽包240g,15.80,6971738655326,袋
5694,-1.00,冻货,18.00,安井撒尿牛丸240g,21.50,6971738655333,袋
5696,1.00,冻货,13.00,安井鱼豆腐240g,15.80,6971738655371,袋
5697,3.00,冻货,13.00,安井包心鱼丸240g,15.80,6971738655388,袋
5698,16.00,冻货,13.00,安井蟹味宝240g,15.80,6971738655395,袋
5699,3.00,冻货,21.00,安井潮汕牛丸200g,24.50,6971738655401,袋
5701,4.00,冻货,19.00,安井鱼籽福袋150g,21.80,6971738656095,袋
5702,6.00,冻货,10.00,思念无糖黑芝麻汤圆400g,12.80,6921665700194,袋
5707,11.00,冻货,9.00,思念原味手抓饼450g,11.80,6921665714429,袋
5708,5.00,冻货,9.00,思念葱香手抓饼450g,11.80,6921665714436,袋
5710,14.00,冻货,10.00,思念大黄米黑芝麻汤圆454g,12.80,6921665732577,袋
5712,3.00,冻货,27.00,湾仔码头虾皇小云吞400g,33.90,4891913750351,袋
5713,12.00,冻货,48.00,众厨乐臭鲑鱼350g,59.80,6971081780034,袋
5716,20.00,冻货,52.00,美尔滋原切上脑肥牛肉片500g,61.50,6958196800338,袋
5718,1.00,冻货,21.00,草原美尔滋脆骨羊肉卷200g,26.80,6958196800390,盒
5720,7.00,冻货,34.00,美尔滋350g羔羊肉盒装1,40.00,6958196800499,盒
5724,1.00,冻货,17.00,盐酥鸡米花800g,21.00,6970567810067,袋
5725,5.00,冻货,63.00,好邦烤翅中1500g,78.00,6970567819022,袋
5726,17.00,冻货,70.00,北极甜虾750g,90.00,6943890900333,袋
5728,5.00,冻货,75.00,黑虎虾10头/包,98.00,6957890900335,袋
5730,7.00,冻货,150.00,屿品堂海参,185.00,6973820980132,袋
5731,55.00,零食,21.50,三胖蛋瓜子罐装218g,33.00,6925723000028,罐
5732,31.00,零食,12.00,三胖蛋原味瓜子白袋180g,16.00,6925723000080,袋
5735,15.00,零食,9.00,小猪佩奇草莓饼干160g,10.90,6924546000802,袋
5736,10.00,零食,9.00,小猪佩奇柠檬饼干160g,10.90,6924546000819,袋
5737,2.00,零食,9.00,小猪佩奇巧克力160g,10.90,6924546000826,盒
5739,4.00,零食,105.00,雀巢醇品速溶咖啡500g,140.00,6903473015103,罐
5740,11.00,零食,17.00,波力海苔原味24g,24.50,6918598028105,袋
5742,26.00,零食,6.40,百醇巧克力味48g,7.90,6901845040685,盒
5743,64.00,零食,6.40,百醇牛奶味,7.90,6901845040692,盒
5744,39.00,零食,6.40,百醇提拉米苏味48g,7.90,6901845040951,盒
5745,20.00,零食,6.40,百醇抹茶慕斯味,7.90,6901845040968,盒
5746,16.00,零食,6.40,百醇红酒巧克力味,7.90,6901845041248,盒
5747,43.00,零食,6.40,百醇榛仁巧克力味48g,7.90,6901845041712,盒
5751,351.00,零食,8.30,费列罗3粒装巧克力,9.80,80050278,支
5753,2.00,零食,140.00,费列罗巧克力32粒,169.00,8000500067567,盒
5755,18.00,零食,21.50,旺旺仙贝520g,25.50,6909995101676,袋
5756,3.00,零食,9.80,溜溜梅清梅160g,12.90,6923976110136,袋
5757,14.00,零食,21.50,旺旺雪饼520g,25.50,6909995110326,袋
5759,32.00,零食,9.80,溜溜梅乌梅160g,12.90,6923976112161,袋
5762,11.00,零食,5.20,太阳锅巴孜然130g,6.70,6901306180707,袋
5763,2.00,零食,5.20,太阳锅巴麻辣130g,6.70,6901306180714,袋
5764,1.00,零食,105.00,费列罗巧克力24粒,139.00,8000500180723,盒
5765,22.00,零食,5.20,太阳锅巴五香130g,6.70,6901306180738,袋
5766,14.00,零食,9.80,溜溜梅雪梅160g,12.90,6923976181266,袋
5767,145.00,零食,3.70,露露杏仁露,4.50,6901808188881,罐
5768,6.00,零食,30.40,海底捞麻辣嫩牛火锅405g,39.90,6971284200001,盒
5769,10.00,零食,30.40,海底捞番茄牛腩火锅365g,39.90,6971284200049,盒
5770,19.00,零食,30.40,海底捞脆爽牛肚火锅435g,39.90,6971284200063,盒
5771,26.00,零食,27.50,海底捞香辣素食火锅400g,34.90,6971284200087,盒
5772,29.00,零食,13.00,脆香米牛奶120g,16.90,6914973200685,袋
5774,21.00,零食,30.50,德芙士力架碗装460g,37.00,6914973206106,盒
5779,26.00,零食,30.00,沃隆坚果175gA白,40.00,6959479300422,袋
5780,18.00,零食,30.00,沃隆坚果B黄175g,40.00,6959479300439,盒
5781,7.00,零食,42.00,德芙心语98g,46.00,6914973300828,条
5783,2.00,零食,3.20,王老吉凉茶310ml,4.00,6956367338680,罐
5784,7.00,零食,10.20,百吉猫麻300g,12.70,6923668390075,袋
5785,27.00,零食,10.20,百吉猫锅巴孜然300g,12.70,6923668390181,袋
5786,15.00,零食,13.50,德福祥伍仁油茶400g,16.90,6931802400047,袋
5787,3.00,零食,13.50,德福祥八宝咸油茶400g,16.90,6931802400078,袋
5788,38.00,零食,18.50,德福祥牛骨髓油茶680g,27.90,6931802400085,袋
5790,15.00,零食,14.90,牛浪汉牛肉粒80g,18.00,6923228400381,袋
5792,61.00,零食,18.00,牛浪汉泡椒牛肉160g,23.00,6923228400817,袋
5793,63.00,零食,5.00,众望麻花咸味200g,6.50,6922895401226,袋
5795,50.00,零食,6.30,黄飞鸿花生110g,7.50,6925843404249,包
5799,38.00,零食,11.00,纳宝帝奶酪威化饼干200g,14.50,8993175537391,袋
5800,10.00,零食,13.00,M豆-花生牛奶巧克力豆100g,16.90,6914973601567,条
5802,15.00,零食,9.50,百草味黄桃干100g,12.90,6948939602381,袋
5804,46.00,零食,8.50,百草味板栗仁80g,11.80,6948939602572,袋
5807,19.00,零食,31.00,德芙香浓黑巧碗装,36.50,6914973604230,盒
5808,24.00,零食,31.00,德芙香白巧碗装,36.50,6914973604278,盒
5810,5.00,零食,21.00,智力奶香金典麦片480g,26.00,6925785605773,袋
5812,12.00,零食,31.00,智力桂花莲子藕粉420g,35.80,6925785605797,袋
5815,9.00,零食,31.00,智力红豆薏米燕麦520g,38.90,6925785605902,袋
5818,21.00,零食,30.00,智力水果坚果麦脆300g,39.90,6925785606404,袋
5819,2.00,零食,40.00,智力酸奶麦脆316g,52.90,6925785606442,袋
5820,45.00,零食,9.80,百草味蔓越莓干100g,12.90,6948939608208,袋
5826,1.00,零食,75.00,恒康开口松子420g罐装,95.00,6920771613763,罐
5828,18.00,零食,68.00,恒康巴达木420g罐装,85.00,6920771613787,罐
5833,23.00,零食,6.50,法丽滋香草柠檬曲奇115g,8.50,6947929617169,瓶
5834,30.00,零食,6.50,法丽滋黑巧克力曲奇115g,8.50,6947929617176,袋
5835,8.00,零食,6.50,法丽滋抹茶慕斯曲奇115g,8.50,6947929617183,盒
5836,21.00,零食,10.30,恒康山核桃味瓜子250g,13.00,6920771617785,袋
5837,15.00,零食,10.30,恒康焦糖味瓜子250g袋装,13.00,6920771617792,袋
5840,26.00,零食,7.50,金鸽多味葵花籽260g,9.50,6922133651086,袋
5841,30.00,零食,10.00,益达草莓40粒装,12.50,6923450656150,瓶
5842,17.00,零食,10.00,益达薄荷口味40粒装,12.50,6923450656181,盒
5843,40.00,零食,10.00,益达香橙40粒装,12.50,6923450656860,瓶
5844,58.00,零食,10.00,益达西瓜味40粒装.,12.50,6923450657638,瓶
5845,48.00,零食,10.00,益达蓝莓40粒装,12.50,6923450657935,瓶
5846,1.00,零食,7.70,5弹酸劲草莓18粒,9.90,6923450662106,瓶
5850,27.00,零食,14.00,王小卤虎皮凤爪卤香105g,17.90,6972636670213,袋
5851,54.00,零食,14.00,王小卤凤爪香辣105g,17.90,6972636670237,袋
5852,53.00,零食,14.00,王小卤凤爪椒麻105g,17.90,6972636670244,袋
5853,14.00,零食,10.00,可居吊炉花生（蒜茸味）308g,12.80,6927682700018,袋
5854,31.00,零食,2.40,舒碱苏打水,3.00,6970783730019,瓶
5855,47.00,零食,2.40,舒碱茉莉花苏打水,3.00,6970783730132,瓶
5857,35.00,零食,3.50,统一阿萨姆奶茶500ml,4.30,6925303730574,瓶
5860,8.00,零食,16.50,好丽友提拉米苏,21.50,6920907801347,盒
5861,31.00,零食,3.70,好多鱼烧烤味34g,4.50,6920907808179,盒
5862,26.00,零食,3.70,好多鱼鸡翅味34g,4.50,6920907808278,盒
5864,12.00,零食,5.00,呀土豆薯条番茄味70g,5.90,6920907808537,袋
5865,11.00,零食,5.00,呀土豆薯条里脊牛排70g,5.90,6920907808575,袋
5866,21.00,零食,5.00,呀土豆薯条烤鸡70g,5.90,6920907808612,袋
5867,1.00,零食,80.00,绿盛牛肉粒200g16盒,105.00,6907149808969,盒
5868,8.00,零食,7.00,好丽友薯愿原味104g,8.50,6920907809862,罐
5869,28.00,零食,7.00,好丽友薯愿红酒牛排味104g,8.50,6920907809886,罐
5870,8.00,零食,7.00,好丽友薯愿番茄104g,8.50,6920907809909,桶
5872,98.00,零食,4.00,好丽友能量棒40g,5.30,6920907816044,袋
5873,-1.00,零食,5.50,好丽友蛋白坚果棒50g,6.90,6920907816075,袋
5874,1.00,零食,10.70,恰恰香瓜子260g,13.90,6924187821644,袋
5875,13.00,零食,11.20,洽洽原香瓜子285g,15.90,6924187821989,袋
5877,38.00,零食,9.20,洽洽香瓜子奶油味285g,12.50,6924187824959,袋
5881,15.00,零食,10.00,不二家果味棒棒糖女孩125g,13.80,6937451831256,袋
5885,30.00,零食,6.80,洽洽焦糖瓜子108g,8.90,6924187851160,袋
5886,8.00,零食,4.60,洽洽每日坚果26g,6.20,6924187858084,袋
5887,12.00,零食,33.00,洽洽每日坚果182g,44.50,6924187858725,袋
5889,38.00,零食,12.90,螺霸王螺蛳粉原味330g,17.00,6970209860221,袋
5890,56.00,零食,12.90,螺霸王螺蛳粉麻辣,17.00,6970209860467,袋
5892,15.00,零食,28.00,洽洽坚果燕麦片家庭装350g,36.00,6924187875333,盒
5893,14.00,零食,32.00,洽洽坚果酸奶水果燕麦片350g,42.90,6924187876576,盒
5894,35.00,零食,9.00,芝麻官胡豆280g,11.50,6920609900362,袋
5895,20.00,零食,20.00,奥利奥原味饼干418g,25.00,6901668937032,盒
5897,4.00,零食,4.50,雪海梅乡山楂饼150g,6.50,6920130970926,袋
5898,25.00,零食,9.50,雪海梅乡葡萄干165g,13.80,6920130971107,袋
5899,20.00,零食,9.50,雪海梅乡草莓干66g,13.80,6920130971879,袋
5900,27.00,零食,9.50,雪海梅乡黄桃干66g,13.80,6920130971886,袋
5902,8.00,蛋糕,13.20,奶油毛毛虫250g,15.00,6371251234,袋
5903,3.00,蛋糕,13.20,脏脏包250g,15.00,6371251235,袋
5904,11.00,蛋糕,10.56,小章鱼60g,12.00,6371251236,袋
5905,13.00,蛋糕,11.26,乳酸布里欧120g,12.80,6371251237,袋
5906,1.00,蛋糕,13.90,脏脏焦120g,15.80,6371251238,袋
