,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
359,36.00,0,0.00,1,50.00,50.00,4897031350015
360,17.00,0,0.00,2,27.00,54.00,4000417933003
363,30.00,0,0.00,12,37.00,444.00,6971893820010
364,31.50,0,0.00,1,39.00,39.00,6943890900477
365,14.00,0,0.00,4,17.50,70.00,6973669041100
374,130.00,0,0.00,1,160.00,160.00,6974739650178
375,33.00,0,0.00,3,42.60,127.80,6954808610302
376,33.00,0,0.00,1,42.60,42.60,6954808610319
377,33.00,0,0.00,1,42.60,42.60,6954808612139
378,38.00,0,0.00,3,47.50,142.50,6954808612351
379,230.00,0,0.00,2,258.00,516.00,6974622050009
380,32.00,0,0.00,7,39.00,273.00,6972251252245
381,87.00,0,0.00,4,99.00,396.00,6974622051433
382,15.00,0,0.00,2,18.80,37.60,6949884200547
383,25.50,0,0.00,3,29.90,89.70,6970010925010
384,120.00,0,0.00,4,138.00,552.00,6970525359362
385,43.00,0,0.00,5,49.80,249.00,6970525359997
386,135.00,0,0.00,2,158.00,316.00,6970525356309
387,60.00,0,0.00,4,69.80,279.20,6970525358211
388,44.00,0,0.00,2,53.00,106.00,6975235721362
389,99.00,0,0.00,11,129.00,1419.00,6975471520019
390,20.00,0,0.00,2,25.00,50.00,6971680630297
391,22.50,0,0.00,5,29.50,147.50,6970599913842
392,42.80,0,0.00,3,49.90,149.70,6959540361321
393,35.00,0,0.00,5,43.50,217.50,6975849950004
394,54.00,0,0.00,1,69.50,69.50,6943890900408
395,32.00,0,0.00,11,39.00,429.00,6948431109968
396,15.00,0,0.00,1,19.00,19.00,6940747415115
397,18.00,0,0.00,3,22.50,67.50,6940747414910
398,32.00,0,0.00,8,39.00,312.00,6940747410912
399,32.00,0,0.00,6,39.00,234.00,6940747410813
400,41.50,0,0.00,6,48.00,288.00,0101020211012
402,16.00,0,0.00,5,19.80,99.00,6970228680121
411,23.00,0,0.00,3,26.80,80.40,6901333110524
412,35.00,0,0.00,1,43.20,43.20,6905014301263
413,35.00,0,0.00,5,43.20,216.00,6905014301287
414,35.00,0,0.00,4,43.20,172.80,6905014301270
415,25.00,0,0.00,3,28.00,84.00,6905014081288
416,14.50,0,0.00,6,18.50,111.00,6905014000876
417,15.00,0,0.00,2,19.00,38.00,6904555694292
418,16.00,0,0.00,1,20.50,20.50,6931500340706
419,16.00,0,0.00,5,20.50,102.50,6931500340904
420,16.00,0,0.00,2,20.50,41.00,6931500341000
421,16.00,0,0.00,2,19.80,39.60,6945309351917
423,27.00,0,0.00,1,33.80,33.80,6913405670317
424,12.00,0,0.00,1,15.50,15.50,6913405660530
425,12.00,0,0.00,1,15.60,15.60,6913405760681
426,20.00,0,0.00,4,25.00,100.00,6913405663524
427,20.00,0,0.00,1,25.80,25.80,6913405663517
